,name,releaseDate,copiesSold,price,revenue,avgPlaytime,reviewScore,publisherClass,publishers,developers,steamId,Price,Release_date,Review_no,Review_type,Tags,Description
1629,,,,,,,,,,,,0.0,2015-09-08,118548.0,Mostly Positive,"Free to Play,MOBA,Multiplayer,Action,Third Person,Strategy,Mythology,MMORPG,Team-Based,Nostalgia,Competitive,Anime,PvP,Co-op,eSports,Massively Multiplayer,RPG,Casual,Adventure,Strategy RPG","Join 40+ million players in SMITE, the Battleground of the Gods! Wield Thor’s hammer, turn your foes to stone as Medusa, or flex your divine power as one of 100+ other mythological icons. Become a God and play FREE today!"
1630,,,,,,,,,,,,0.0,2012-02-01,19441.0,Mostly Positive,"Free to Play,Sci-fi,Massively Multiplayer,Space,MMORPG,RPG,Open World,Multiplayer,Character Customization,Action,Third Person,Adventure,Singleplayer,PvE,Co-op,Online Co-Op,PvP,Strategy,Action RPG,Tactical","In Star Trek Online, the Star Trek universe appears for the first time on a truly massive scale. Players take the captain's chair as they command their own starship and crew. Explore strange new worlds, seek out new life and new civilizations, and boldly go where no one has gone before."
1631,,,,,,,,,,,,8.19,2017-09-29,150271.0,Overwhelmingly Positive,"Difficult,Cartoon,Co-op,Platformer,Great Soundtrack,Local Co-Op,2D,Hand-drawn,Multiplayer,Indie,Retro,Cartoony,Bullet Hell,Action,Shoot 'Em Up,Singleplayer,Side Scroller,Colorful,Funny,Souls-like","Cuphead is a classic run and gun action game heavily focused on boss battles. Inspired by cartoons of the 1930s, the visuals and audio are painstakingly created with the same techniques of the era, i.e. traditional hand drawn cel animation, watercolor backgrounds, and original jazz recordings."
1632,,,,,,,,,,,,8.49,2018-08-07,134054.0,Overwhelmingly Positive,"Adventure,Metroidvania,Pixel Graphics,Action Roguelike,2D,Roguelike,Souls-like,Roguelite,Replay Value,Hack and Slash,Difficult,Platformer,Singleplayer,Roguevania,Action,Dark Fantasy,Procedural Generation,Atmospheric,Funny,Indie","Dead Cells is a roguelite, metroidvania inspired, action-platformer. You'll explore a sprawling, ever-changing castle... assuming you’re able to fight your way past its keepers in 2D souls-lite combat. No checkpoints. Kill, die, learn, repeat."
1633,,,,,,,,,,,,19.99,2024-07-24,73.0,Very Positive,"Action,Free to Play,Violent","The Metro Drifter Set bundle includes:



- 1 Legendary Outfit

- 1 Legendary Weapon Skins

- 1 Legendary Sticker

- 1 Epic Emot

- 1 Epic Charm

- 2 400 Multibucks"
1634,,,,,,,,,,,,10.49,2019-05-22,66756.0,Overwhelmingly Positive,"VR,Rhythm,Music,Moddable,Fast-Paced,Singleplayer,First-Person,Difficult,Multiplayer,Indie,Swordplay,Action,Sports,Futuristic,Casual,Great Soundtrack,Games Workshop,Music-Based Procedural Generation,PvP,Early Access","Beat Saber is a VR rhythm game where you slash the beats of adrenaline-pumping music as they fly towards you, surrounded by a futuristic world."
1635,,,,,,,,,,,,59.99,2016-04-11,248659.0,Very Positive,"Souls-like,Dark Fantasy,Difficult,RPG,Atmospheric,Lore-Rich,Third Person,Exploration,Story Rich,Action RPG,Co-op,Great Soundtrack,Adventure,Action,Multiplayer,PvP,Open World,Singleplayer,Character Customization,Replay Value","Dark Souls continues to push the boundaries with the latest, ambitious chapter in the critically-acclaimed and genre-defining series. 



Prepare yourself and Embrace The Darkness!"
1636,,,,,,,,,,,,5.49,2014-11-13,61968.0,Mostly Positive,"Open World,Parkour,Assassin,Co-op,Stealth,Historical,Action,Adventure,Multiplayer,Third Person,Online Co-Op,Singleplayer,Atmospheric,Story Rich,Great Soundtrack,RPG,Action RPG,Tactical,Simulation,Beautiful","Assassin’s Creed® Unity tells the story of Arno, a young man who embarks upon an extraordinary journey to expose the true powers behind the French Revolution. In the brand new co-op mode, you and your friends will also be thrown in the middle of a ruthless struggle for the fate of a nation. Rely on communication, coordination, and your diverse skills to become true Master Assassins."
1637,,,,,,,,,,,,6.99,2018-09-20,40319.0,Very Positive,"Multiplayer,Funny,Online Co-Op,4 Player Local,Board Game,Party Game,Minigames,Casual,Local Multiplayer,Co-op,Party,Local Co-Op,Action,Indie,Comedy,Tabletop,Controller,Gore,Colorful,Singleplayer",Pummel Party is a 4-8 player online and local-multiplayer party game. Pummel friends or AI using a wide array of absurd items in the board mode and compete to destroy friendships in the unique collection of minigames.
1638,,,,,,,,,,,,49.99,2020-03-12,22919.0,Very Positive,"Rhythm,Music,Casual,Action,Anime,Multiplayer,Singleplayer,Competitive,Arcade,2D,Cute,Early Access,Pixel Graphics,3D,Difficult,Fantasy,PvP,PvE,Sports,Great Soundtrack","DJMAX RESPECT V is the latest installment from the creators of the critically acclaimed rhythm game franchise ‘DJMAX.’ Experience tracks from popular artists such as Marshmello, Porter Robinson, and Yukika, exclusive Full HD Music Videos, online multiplayer, new game modes, and more!"
1639,,,,,,,,,,,,29.99,2020-09-25,61372.0,Very Positive,"Open World,Action,Crime,Story Rich,Singleplayer,Adventure,Sexual Content,Third-Person Shooter,Multiplayer,Remake,Violent,Third Person,Classic,Mature,Atmospheric,Shooter,Noir,Gore,Great Soundtrack,Racing","An inadvertent brush with the mob thrusts cabdriver Tommy Angelo into the world of organized crime. Initially uneasy about falling in with the Salieri family, the rewards become too big to ignore."
1640,,,,,,,,,,,,0.0,2013-08-03,34129.0,Very Positive,"Simulation,Flight,Free to Play,Multiplayer,Military,Realistic,VR,War,Open World,Singleplayer,Shooter,Action,Co-op,Sandbox,TrackIR,First-Person,Tanks,Strategy,Massively Multiplayer,FPS","Feel the excitement of flying the Su-25T ""Frogfoot"" attack jet and the TF-51D ""Mustang"" in the free-to-play Digital Combat Simulator World!"
1641,,,,,,,,,,,,18.98,2023-08-10,1619.0,Mostly Positive,"Action,Adventure,Action RPG,Action-Adventure,Exploration,3D,Online Co-Op,Fantasy,Cinematic,Demons,Loot,Magic,Mystery,Supernatural,Singleplayer,Combat,Female Protagonist,Narration,RPG,Story Rich","In solo or co-op, experience Reign of Sand, the ultimate version of Atlas Fallen. Ride the sands of a timeless land and defeat legendary monsters in spectacular Action-RPG combat using devastating powers."
1642,,,,,,,,,,,,8.49,2018-08-07,47053.0,Very Positive,"Multiplayer,Online Co-Op,Local Co-Op,Co-op,Casual,Funny,Cooking,4 Player Local,Indie,Local Multiplayer,Action,Family Friendly,Cute,Controller,Comedy,Singleplayer,Difficult,Simulation,Strategy,Colorful",Overcooked returns with a brand-new helping of chaotic cooking action! Journey back to the Onion Kingdom and assemble your team of chefs in classic couch co-op or online play for up to four players. Hold onto your aprons… it’s time to save the world again!
1643,,,,,,,,,,,,6.99,2017-02-24,327660.0,Overwhelmingly Positive,"Metroidvania,Souls-like,Platformer,Great Soundtrack,Difficult,2D,Indie,Singleplayer,Atmospheric,Exploration,Adventure,Story Rich,Hand-drawn,Action,Multiple Endings,Dark Fantasy,Open World,Cute,Controller,Side Scroller","Forge your own path in Hollow Knight! An epic action adventure through a vast ruined kingdom of insects and heroes. Explore twisting caverns, battle tainted creatures and befriend bizarre bugs, all in a classic, hand-drawn 2D style."
1644,,,,,,,,,,,,-1.0,2024-09-12,,,"Action,2D Fighter,Multiplayer,Singleplayer,Beat 'em up,Comic Book,Pixel Graphics,Superhero,1990's,Retro,Online Co-Op,Score Attack,Local Multiplayer,Local Co-Op,Co-op,Classic,Fighting,Arcade","The legendary crossover hits are back!

The action-packed lineup consisting of seven unique titles, is full of heavy hitters like X-MEN VS. STREET FIGHTER, and MARVEL vs. CAPCOM 2 New Age of Heroes. The collection also includes the rare beat 'em up game, THE PUNISHER."
1645,,,,,,,,,,,,12.99,2022-06-12,31328.0,Very Positive,"Massively Multiplayer,Swordplay,Medieval,Hack and Slash,Gore,Multiplayer,Historical,Action,PvP,First-Person,War,Combat,Military,FPS,3D,Third Person,Atmospheric,Comedy,Wargame,3D Fighter","Chivalry 2 is a multiplayer first person slasher inspired by epic medieval movie battles. Players are thrust into the action of every iconic moment of the era - from clashing swords, to storms of flaming arrows, to sprawling castle sieges and more."
1646,,,,,,,,,,,,39.99,2021-09-28,239686.0,Mixed,"Open World,Massively Multiplayer,MMORPG,RPG,Adventure,Action,PvP,PvE,Multiplayer,Fantasy,Character Customization,Walking Simulator,Crafting,Third Person,Co-op,Open World Survival Craft,Sandbox,Violent,Sexual Content,Singleplayer","Explore a thrilling, open-world MMO filled with danger and opportunity where you'll forge a new destiny on the supernatural island of Aeternum."
1647,,,,,,,,,,,,59.99,2023-09-18,30209.0,Very Positive,"Souls-like,Action,Dark Fantasy,Action RPG,Exploration,Third Person,Singleplayer,Story Rich,Adventure,Dark,Steampunk,3D,Atmospheric,RPG,Choices Matter,Multiple Endings,Gothic,Violent,Replay Value,Difficult","Lies of P is a thrilling soulslike that takes the story of Pinocchio, turns it on its head, and sets it against the darkly elegant backdrop of the Belle Epoque era."
1648,,,,,,,,,,,,6.99,2023-03-13,46406.0,Very Positive,"Co-op,Multiplayer,Survival,Submarine,Survival Horror,2D,Horror,Underwater,Sci-fi,Simulation,Management,Strategy,Action,Moddable,Difficult,Gore,Violent,Singleplayer,Naval,Early Access","Barotrauma is a 2D co-op submarine simulator – in space, with survival horror and RPG elements. Steer your submarine, complete missions, fight monsters, fix leaks, operate machinery, man the guns and craft items, and stay alert: danger in Barotrauma doesn’t announce itself!"
1649,,,,,,,,,,,,19.99,2020-03-23,79618.0,Overwhelmingly Positive,"VR,FPS,Horror,Story Rich,Female Protagonist,Shooter,Singleplayer,First-Person,Action,Sci-fi,Atmospheric,Zombies,Beautiful,Aliens,Adventure,Futuristic,Psychological Horror,Memes,Great Soundtrack,Gore","Half-Life: Alyx is Valve’s VR return to the Half-Life series. It’s the story of an impossible fight against a vicious alien race known as the Combine, set between the events of Half-Life and Half-Life 2. Playing as Alyx Vance, you are humanity’s only chance for survival."
1650,,,,,,,,,,,,0.0,2021-11-15,172989.0,Mostly Positive,"Free to Play,FPS,Multiplayer,Singleplayer,Shooter,Action,First-Person,Open World,Sci-fi,Co-op,PvP,Competitive,Story Rich,Space,Adventure,Aliens,Lore-Rich,Atmospheric,Cinematic,Soundtrack","From one of gaming's most iconic sagas, Halo is bigger than ever. Featuring an expansive open-world campaign and a dynamic free to play multiplayer experience. "
1651,,,,,,,,,,,,2.99,2019-06-20,98777.0,Very Positive,"Music,Rhythm,Anime,Cute,Sexual Content,Female Protagonist,Casual,Great Soundtrack,Singleplayer,2D,Colorful,Indie,Hentai,Action,Difficult,Funny,Arcade,Beautiful,Mature,Nudity",Paradise of parkour & rhythm game ★★★ — Muse Dash!!
1652,,,,,,,,,,,,39.99,2024-07-02,3969.0,Mixed,"MMORPG,RPG,Massively Multiplayer,Fantasy,Character Customization,Story Rich,JRPG,Multiplayer,Open World,Adventure,Magic,Third Person,Action,Atmospheric,Co-op,Exploration,Action RPG,Female Protagonist,Online Co-Op,Crafting","The sun is rising on a whole new adventure.

Set forth in search of new horizons in FINAL FANTASY XIV: Dawntrail."
1653,,,,,,,,,,,,2.45,2015-04-02,72024.0,Mostly Positive,"Space Sim,Space,Open World,Exploration,Sci-fi,Simulation,Massively Multiplayer,Multiplayer,VR,First-Person,Action,Adventure,Sandbox,Online Co-Op,Singleplayer,Trading,RPG,Difficult,Strategy,TrackIR",Take control of your own starship in a cutthroat galaxy. Elite Dangerous is the definitive massively multiplayer space epic.
1654,,,,,,,,,,,,49.99,2020-10-22,195254.0,Mostly Positive,"FPS,Multiplayer,World War II,Singleplayer,Shooter,War,Military,First-Person,Massively Multiplayer,PvP,Combat,Open World,Action,Historical,Destruction,Battle Royale,Atmospheric,Violent,Sexual Content,Female Protagonist","This is the ultimate Battlefield V experience. Enter mankind’s greatest conflict with the complete arsenal of weapons, vehicles, and gadgets plus the best customization content of Year 1 and 2."
1655,,,,,,,,,,,,12.99,2019-12-03,210251.0,Very Positive,"Great Soundtrack,FPS,Classic,Multiplayer,Story Rich,Sci-fi,Co-op,First-Person,Epic,Shooter,Action,Singleplayer,Aliens,Lore-Rich,Beautiful,Space,Atmospheric,Adventure,Horror,Online Co-Op","The Master Chief’s iconic journey includes six games, built for PC and collected in a single integrated experience. Whether you’re a long-time fan or meeting Spartan 117 for the first time, The Master Chief Collection is the definitive Halo gaming experience."
1656,,,,,,,,,,,,19.99,2010-11-09,18685.0,Very Positive,"Action,FPS,Zombies,Multiplayer,Shooter,Singleplayer,Cold War,First-Person,War,Military,Online Co-Op,Co-op,Gore,Story Rich,Controller,Adventure,Linear,Massively Multiplayer,Horror,Great Soundtrack",The biggest first-person action series of all time and the follow-up to critically acclaimed Call of Duty®: Modern Warfare 2 returns with Call of Duty®: Black Ops.
1657,,,,,,,,,,,,43.99,2023-01-23,21457.0,Mostly Positive,"Open World,Action,Co-op,Singleplayer,Shooter,Multiplayer,Military,Third-Person Shooter,Stealth,Adventure,Realistic,Third Person,Online Co-Op,Tactical,Character Customization,FPS,Violent,Looter Shooter,Gore,Sexual Content","Become a Ghost, fighting against a rogue spec ops faction called the Wolves, in the latest Tom Clancy's Ghost Recon®!"
1658,,,,,,,,,,,,2.99,2022-10-20,222922.0,Overwhelmingly Positive,"Action Roguelike,Bullet Hell,Pixel Graphics,Roguelite,2D,Indie,Vampire,Singleplayer,Casual,Arcade,Action,Roguelike,RPG,Controller,Retro,Score Attack,Action RPG,Dark Fantasy,Local Co-Op,1980s","Mow down thousands of night creatures and survive until dawn! 

  

Vampire Survivors is a gothic horror casual game with rogue-lite elements, where your choices can allow you to quickly snowball against the hundreds of monsters that get thrown at you."
1659,,,,,,,,,,,,0.0,2017-11-17,42548.0,Very Positive,"Free to Play,Card Game,Anime,Strategy,Multiplayer,Trading Card Game,Singleplayer,Turn-Based,Competitive,Casual,RPG,Memes,Great Soundtrack,Online Co-Op,Action,Adventure,Simulation,Massively Multiplayer,Psychological Horror,MMORPG","Take on Duelists around the world with ""Yu-Gi-Oh! Duel Links""!

Step into a world that crosses dimensions and connects all Duelists. In Duel World, any location transforms into a Duel Field where heated Duels unfold!"
1660,,,,,,,,,,,,8.49,2020-09-03,111265.0,Overwhelmingly Positive,"Boomer Shooter,Character Action Game,Fast-Paced,FPS,Blood,Arena Shooter,Spectacle fighter,Retro,Singleplayer,Shooter,Difficult,First-Person,Colorful,Score Attack,Action,Great Soundtrack,Robots,Cyberpunk,Old School,Early Access",ULTRAKILL is a fast-paced ultraviolent retro FPS combining the skill-based style scoring from character action games with unadulterated carnage inspired by the best shooters of the '90s. Rip apart your foes with varied destructive weapons and shower in their blood to regain your health.
1661,,,,,,,,,,,,11.99,2022-11-22,6783.0,Mostly Positive,"Beat 'em up,Western,Action-Adventure,Co-op,Third-Person Shooter,Character Action Game,Demons,Story Rich,Vampire,Action,Gore,Multiplayer,Singleplayer,Online Co-Op,Hack and Slash,Violent,Third Person,Shooter,RPG,Adventure","A dark menace consumes the Old West. In solo or coop, fight with style in visceral, explosive combat against bloodthirsty monstrosities. Eradicate the vampiric hordes with your lightning-fueled gauntlet and become a Wild West Superhero."
1662,,,,,,,,,,,,59.99,2023-08-25,55132.0,Very Positive,"Mechs,Character Customization,Action,Robots,Third Person,Combat,Fast-Paced,3D,Sci-fi,Souls-like,Multiplayer,Futuristic,Post-apocalyptic,Singleplayer,Difficult,Vehicular Combat,Soundtrack,Military,Action-Adventure,Atmospheric",A new action game based on the concept of the ARMORED CORE series that uses the knowledge gained from FromSoftware's recent action game development.
1663,,,,,,,,,,,,39.99,2018-05-24,71224.0,Very Positive,"Souls-like,Dark Fantasy,RPG,Difficult,Action,Dark,Fantasy,Atmospheric,Great Soundtrack,Action RPG,Lore-Rich,Adventure,Multiplayer,Exploration,Third Person,Story Rich,Replay Value,Character Customization,Soundtrack,Co-op","Then, there was fire. Re-experience the critically acclaimed, genre-defining game that started it all. Beautifully remastered, return to Lordran in stunning high-definition detail running at 60fps."
1664,,,,,,,,,,,,46.99,2017-09-28,83312.0,Very Positive,"Strategy,Fantasy,Turn-Based Strategy,RTS,Grand Strategy,War,Multiplayer,Games Workshop,Action,Turn-Based,Singleplayer,Dark Fantasy,Co-op,Tactical,Real Time Tactics,Story Rich,Atmospheric,Dwarf,Dinosaurs,Great Soundtrack","Strategy gaming perfected. A breath-taking campaign of exploration, expansion and conquest across a fantasy world. Turn-based civilisation management and real-time epic strategy battles with thousands of troops and monsters at your command."
1665,,,,,,,,,,,,8.49,2020-09-17,246738.0,Overwhelmingly Positive,"Action Roguelike,Roguelite,Hack and Slash,Indie,Mythology,Action,Roguelike,Great Soundtrack,Singleplayer,RPG,Story Rich,Dungeon Crawler,Replay Value,Isometric,Difficult,Action RPG,Hand-drawn,Atmospheric,Perma Death,LGBTQ+","Defy the god of the dead as you hack and slash out of the Underworld in this rogue-like dungeon crawler from the creators of Bastion, Transistor, and Pyre."
1666,,,,,,,,,,,,18.99,2018-05-08,68563.0,Mostly Positive,"Survival,Open World,Building,Nudity,Open World Survival Craft,Crafting,Multiplayer,Sandbox,RPG,Massively Multiplayer,Adventure,Action,Online Co-Op,Exploration,Violent,Singleplayer,Co-op,Fantasy,Gore,PvP","An online multiplayer survival game, now with sorcery, set in the lands of Conan the Barbarian. Survive in a vast open world sandbox, build your home into a kingdom, and dominate your enemies in single or multiplayer."
1667,,,,,,,,,,,,5.49,2013-08-13,430693.0,Very Positive,"Co-op,Action,FPS,Heist,Multiplayer,Looter Shooter,Online Co-Op,Stealth,Crime,Shooter,Team-Based,First-Person,Great Soundtrack,Gun Customization,Tactical,PvE,Strategy,Singleplayer,Funny,Simulation","PAYDAY 2 is an action-packed, four-player co-op shooter that once again lets gamers don the masks of the original PAYDAY crew - Dallas, Hoxton, Wolf and Chains - as they descend on Washington DC for an epic crime spree."
1668,,,,,,,,,,,,49.99,2022-11-18,25411.0,Very Positive,"Action,Open World,Superhero,Singleplayer,Adventure,Third Person,Combat,Story Rich,Parkour,Exploration,Stealth,Action-Adventure,Comic Book,Beat 'em up,Multiplayer,Great Soundtrack,RPG,Beautiful,Sci-fi,LGBTQ+","After the events of Marvel’s Spider-Man Remastered, teenage Miles Morales is adjusting to his new home while following in the footsteps of his mentor, Peter Parker, as a new Spider-Man. When a fierce power struggle threatens to destroy his home, Miles must take up the mantle of Spider-Man and own it"
1669,,,,,,,,,,,,23.99,2018-08-29,84206.0,Mostly Positive,"Survival,Open World Survival Craft,Multiplayer,Open World,Zombies,Nudity,Massively Multiplayer,Action,Realistic,Adventure,Singleplayer,Early Access,Crafting,FPS,Violent,Gore,PvP,Third Person,Indie,RPG","Traverse punishing environments, looting, crafting and evading the constant threats to your life. The unprecedented levels of character customization and progression are your ultimate tools for survival."
1670,,,,,,,,,,,,12.89,2022-04-21,89377.0,Overwhelmingly Positive,"Destruction,Physics,Sandbox,Voxel,First-Person,Singleplayer,Heist,Open World,Realistic,3D,Simulation,Action,Puzzle,Driving,Indie,Immersive Sim,Replay Value,Tactical,Puzzle Platformer,Runner",Prepare the perfect heist in this simulated and fully destructible voxel world. Tear down walls with vehicles or explosives to create shortcuts. Stack objects to reach higher. Use the environment to your advantage in the most creative way you can think of.
1671,,,,,,,,,,,,4.49,2020-08-17,18419.0,Very Positive,"Action,Indie,Adventure,Utilities,Shooter,Software,FPS,Game Development,Design & Illustration,Photo Editing,Animation & Modeling,Survival,Education,PvP,Third-Person Shooter,First-Person,War,Sandbox,Tactical,Third Person",Overlay custom crosshairs on every game you play. Choose from thousands of unique crosshairs created by the Crosshair X community or design your own using the designer.
1672,,,,,,,,,,,,2.39,2021-02-18,6720.0,Very Positive,"Action,Zombies,Shooter,Multiplayer,Co-op,Third-Person Shooter,Third Person,Singleplayer,Gore,Adventure,Sniper,Horror,PvE,Violent,Alternate History,World War II,Combat,Dark,Demons,Open World","Hitler’s hordes are back for more in this spine-chilling shooter from the makers of Sniper Elite 4! Abominable occult enemies, epic weapons and a harrowing new campaign for 1-4 players await in 1940s Europe, as you fight to save humankind from undead Armageddon!"
1673,,,,,,,,,,,,34.99,2023-12-14,3643.0,Very Positive,"Action,2D Fighter,Multiplayer,Anime,Fighting,Singleplayer,eSports,Action RPG,Fantasy,Competitive,Great Soundtrack,Local Multiplayer,Female Protagonist,Free to Play,Character Customization","Rise to the challenge in Granblue Fantasy Versus: Rising!

This powered up, revamped sequel to GBVS is more enjoyable and accessible than ever before.

With simplified input options, even newcomers can engage in thrilling and strategic matches!"
1674,,,,,,,,,,,,29.99,2020-06-18,204921.0,Overwhelmingly Positive,"FPS,Mechs,Multiplayer,Shooter,Action,Singleplayer,Parkour,Sci-fi,First-Person,Futuristic,PvP,Combat,Military,Fast-Paced,Team-Based,Time Travel,Hero Shooter,Violent,Co-op,Gore","Respawn Entertainment gives you the most advanced titan technology in its new, single player campaign & multiplayer experience. Combine & conquer with new titans & pilots, deadlier weapons, & customization and progression systems that help you and your titan flow as one unstoppable killing force."
1675,,,,,,,,,,,,24.99,2020-03-20,166316.0,Very Positive,"FPS,Action,Great Soundtrack,Gore,Fast-Paced,Violent,Demons,Shooter,First-Person,Singleplayer,Blood,Multiplayer,Sci-fi,Post-apocalyptic,Atmospheric,Mature,Story Rich,Difficult,Adventure,Horror",Hell’s armies have invaded Earth. Become the Slayer in an epic single-player campaign to conquer demons across dimensions and stop the final destruction of humanity. The only thing they fear... is you.
1676,,,,,,,,,,,,2.99,2024-07-16,434.0,Very Positive,"Action,Gore,Violent,Horror",Descend into the deepest corners of the unexplored. Dead by Daylight: Tomb Raider brings iconic new survivor Lara Croft into The Fog. Purchasing this add-on unlocks an exclusive Charm: Climbing Axe.
