game_name,total_score
Tony Hawk's™ Pro Skater™ 1 + 2,40646.30
Total War: PHARAOH,99110.95
Total War: ROME II - Emperor Edition,1412594.70
Total War: THREE KINGDOMS,715998.35
Total War: WARHAMMER,655680.10
Total War: WARHAMMER II,2076132.95
Total War: WARHAMMER III,1245394.45
Totally Accurate Battle Simulator,333793.20
TrackDayR,7203.35
Train Sim World® 5,2285.50
Turbo Golf Racing,21481.15
Two Point Campus,100780.80
Two Point Hospital,242189.15
UFO 50,6943.95
Ultimate General: Civil War,430482187.65
Undertale,235356.65
Undisputed,231950.30
Unturned,431131184.35
Valheim,782614.75
Vampire Survivors,242508.75
Visions of Mana,14692.20
WWE 2K24,193000.15
Walkabout Mini Golf VR,58161.55
Wallpaper Engine,1142091.05
War Thunder,4209735.30
Warframe,434736232.25
"Warhammer 40,000: Gladius - Relics of War",340046.90
"Warhammer 40,000: Rogue Trader",282783.40
"Warhammer 40,000: Space Marine 2",84092.50
World of Tanks,748891.95
World of Warships,1981695.85
Wrestling Empire,82871.75
Yu-Gi-Oh! Master Duel,804817.85
eFootball™,438658.15
iRacing,338317.35
shapez 2,109294.55
theHunter: Call of the Wild™,430041343.85
